HYBRIDIZATION R	TCGA-AA-3841-01	TCGA-AA-3866-01	TCGA-AA-3870-01	TCGA-AA-3939-01	TCGA-AA-3941-01	TCGA-AA-3968-01	TCGA-AA-3970-01	TCGA-AA-3977-01	TCGA-AA-3979-01	TCGA-AA-3980-01
ODC1|4953	2033	4623	3117	7651	3276	4563	4168	2670	7285	4805
ODF1|4956	0	0	0	0	0	0	0	0	0	0
ODF2L|57489	76	333	216	315	414	390	568	486	630	563
ODF2|4957	348	998	907	442	673	1105	635	445	1257	1107
ODF3B|440836	104	140	136	54	349	97	101	49	152	310
ODF3L1|161753	2	8	3	22	9	7	5	2	6	2
ODF3L2|284451	0	0	3	4	3	6	1	0	10	2
ODF3|113746	0	0	0	0	0	0	0	0	1	0
ODF4|146852	0	0	0	0	0	0	0	0	0	0
ODZ1|10178	2	1	31	5	3	2	6	6	2	5
ODZ2|57451	5	5	28	0	1	3	3	5	0	0
ODZ3|55714	31	103	283	23	10	66	14	44	13	19
ODZ4|26011	61	136	173	26	24	91	15	21	8	36
OFD1|8481	148	488	415	421	566	1128	571	281	544	874
OGDHL|55753	13	174	13	3	1	8	55	10	1	7
OGDH|4967	3781	4368	4654	2001	3761	2493	3082	1229	2582	2707
OGFOD1|55239	277	1018	614	754	841	1056	915	700	1064	1349
OGFOD2|79676	322	315	415	427	388	393	376	137	699	291
OGFRL1|79627	8	89	61	64	30	88	110	146	16	226
OGFR|11054	1251	1994	1155	518	1547	1713	1816	432	1135	1206
OGG1|4968	363	397	210	299	497	462	580	161	344	465
OGN|4969	1	74	36	3	16	24	14	0	16	51
OGT|8473	1593	1852	1896	2888	2928	4796	3151	1249	2911	3256
OIP5|11339	45	249	74	87	295	242	189	257	316	174
OIT3|170392	40	18	21	64	1	75	78	8	69	10
OLA1|29789	410	2424	2139	3836	2267	3357	3636	1746	5891	3492
OLAH|55301	3	4	15	10	9	5	11	2	7	8
OLFM1|10439	129	82	110	25	35	92	210	19	20	51
OLFM2|93145	34	56	250	19	26	118	235	45	608	47
OLFM3|118427	7	5	174	7	10	2	9	29	8	4
OLFM4|10562	3529	735	1695	12608	5547	6192	13245	54842	2677	7678
OLFML1|283298	32	136	116	75	46	183	62	26	40	99
OLFML2A|169611	171	423	291	198	134	669	286	122	161	403
OLFML2B|25903	342	795	987	189	119	530	209	180	152	323
OLFML3|56944	196	372	293	243	108	415	338	153	71	226
OLIG1|116448	2	6	0	3	5	5	12	7	0	3
OLIG2|10215	7	5	0	1	2	3	2	1	1	3
OLIG3|167826	0	0	0	0	0	0	0	0	0	0
OLR1|4973	9	517	227	180	31	54	86	31	34	36
OMA1|115209	37	278	300	361	643	341	349	300	608	459
OMD|4958	1	14	8	0	25	5	4	0	4	3
OMG|4974	0	4	2	1	4	8	3	0	0	1
OMP|4975	5	1	4	1	3	6	7	8	5	8
ONECUT1|3175	0	0	0	0	0	0	0	1	0	0
ONECUT2|9480	17	60	41	22	223	102	27	53	26	29
ONECUT3|390874	3	0	0	1	89	1	0	11	0	0
OOEP|441161	0	20	18	4	0	0	2	0	0	1
OPA1|4976	203	2551	958	1203	1664	1612	1357	1179	2717	1943
OPA3|80207	379	482	625	434	350	443	423	196	381	316
OPALIN|93377	0	1	0	0	0	0	0	0	0	0
OPCML|4978	7	8	68	7	8	7	6	0	0	0
OPHN1|4983	140	556	439	354	978	680	397	283	291	591
OPLAH|26873	1055	739	516	455	507	747	682	361	2350	1814
OPN1LW|5956	0	0	0	0	0	0	0	0	0	0
OPN1MW|2652	0	0	0	0	0	0	0	0	0	0
OPN1SW|611	4	12	22	10	9	9	4	10	7	13
OPN3|23596	66	479	449	342	325	274	320	105	245	653
OPN4|94233	0	2	1	0	1	0	2	0	2	4
OPN5|221391	0	1	0	1	0	0	0	0	0	0
OPRD1|4985	0	0	1	2	0	0	0	0	0	0
OPRK1|4986	1	0	8	0	3	1	0	3	2	3
OPRL1|4987	25	22	54	11	10	21	16	9	2	20
OPRM1|4988	1	0	16	0	0	0	3	3	2	4
OPTC|26254	0	0	1	1	0	0	1	0	0	0
OPTN|10133	645	1290	2762	1087	1553	1755	1847	600	1439	2179
OR10A2|341276	1	1	1	0	0	0	0	0	1	0
OR10A3|26496	0	0	0	0	0	0	0	0	0	0
OR10A4|283297	0	0	0	0	0	0	0	0	0	0
OR10A5|144124	1	0	2	0	0	0	0	0	0	0
OR10A6|390093	0	0	0	0	0	0	0	0	0	0
OR10A7|121364	0	0	0	0	0	0	0	0	0	0
OR10AD1|121275	0	0	0	0	0	0	0	0	0	0
OR10AG1|282770	0	0	6	1	0	0	2	0	0	0
OR10C1|442194	0	0	0	0	0	0	0	0	0	0
OR10G2|26534	0	0	0	0	0	0	0	0	0	0
OR10G3|26533	0	0	0	0	0	0	0	0	0	0
OR10G4|390264	0	0	0	0	0	0	0	2	0	0
OR10G7|390265	0	0	0	0	0	0	0	1	0	0
OR10G8|219869	0	0	0	0	0	0	0	0	0	0
OR10G9|219870	0	0	0	0	0	0	0	0	0	0
OR10H1|26539	2	0	0	2	0	0	4	0	0	0
OR10H2|26538	1	0	0	0	1	0	2	0	0	0
OR10H3|26532	0	0	0	0	0	0	0	0	0	0
OR10H4|126541	0	0	0	0	0	0	0	0	0	0
OR10H5|284433	0	0	0	0	0	0	2	0	0	0
OR10J1|26476	0	0	0	0	0	0	0	0	0	0
OR10J3|441911	0	0	1	0	0	0	0	0	0	0
OR10J5|127385	0	0	0	0	0	0	0	0	0	0
OR10K1|391109	0	0	0	0	0	0	0	0	0	0
OR10K2|391107	0	0	1	0	0	0	0	0	0	0
OR10P1|121130	0	0	0	0	0	0	0	0	0	0
OR10Q1|219960	0	1	0	0	0	0	1	0	0	3
OR10R2|343406	0	0	0	0	0	0	0	0	0	0
OR10S1|219873	0	0	0	0	0	0	0	0	0	0
OR10T2|128360	0	0	0	0	0	0	0	0	0	0
OR10V1|390201	0	0	0	0	0	0	0	0	0	0
OR10W1|81341	0	0	2	0	0	1	0	1	0	0
OR10X1|128367	0	0	0	0	0	0	0	0	0	0
OR10Z1|128368	0	0	0	0	0	0	0	0	0	0
OR11A1|26531	3	0	5	0	0	6	1	0	1	3
OR11G2|390439	0	0	0	0	0	0	0	0	0	0
OR11H12|440153	0	0	0	0	0	0	0	0	0	0
OR11H1|81061	0	0	0	0	0	0	0	0	0	0
OR11H4|390442	0	0	0	0	0	0	0	0	0	0
OR11H6|122748	0	0	1	0	0	0	0	1	0	0
OR11L1|391189	0	0	0	0	0	0	0	0	0	0
OR12D2|26529	0	0	0	0	0	0	0	0	0	0
OR12D3|81797	0	0	0	0	0	0	0	0	0	0
OR13A1|79290	1	1	0	0	0	1	0	0	1	0
OR13C2|392376	0	0	0	0	0	0	0	0	0	0
OR13C3|138803	0	0	0	0	0	0	0	0	0	0
OR13C4|138804	0	0	0	0	0	0	0	0	0	0
OR13C5|138799	0	1	0	0	0	0	0	0	0	0
OR13C8|138802	0	0	0	0	0	0	0	0	0	0
OR13C9|286362	0	0	0	0	0	0	0	0	0	0
OR13D1|286365	0	0	0	0	0	0	0	0	0	0
OR13F1|138805	0	0	0	0	0	0	0	0	1	0
OR13G1|441933	0	0	0	0	0	0	0	0	0	0
OR13H1|347468	0	0	0	0	0	0	0	0	0	0
OR13J1|392309	0	0	0	0	2	0	0	0	0	0
OR14A16|284532	0	0	0	0	0	0	0	0	0	0
OR14C36|127066	0	0	0	0	0	0	0	0	0	0
OR14I1|401994	0	0	0	0	0	0	0	0	0	0
OR14J1|442191	0	0	0	0	0	0	0	0	0	0
OR1A1|8383	0	0	14	3	0	1	0	2	2	1
OR1A2|26189	0	0	0	0	0	0	0	0	0	0
OR1B1|347169	0	0	0	0	0	0	0	0	0	0
OR1C1|26188	0	0	0	0	0	0	0	0	0	0
OR1D2|4991	0	0	0	0	0	0	0	0	0	0
OR1D4|8385	0	0	0	0	0	0	0	0	0	0
OR1E1|8387	0	0	0	0	0	0	0	0	0	0
OR1E2|8388	0	0	0	0	0	0	0	0	0	0
OR1F1|4992	0	1	0	0	0	0	0	0	0	0
OR1F2P|26184	0	0	0	0	0	0	0	0	0	0
OR1G1|8390	0	0	0	0	0	0	0	0	0	0
OR1I1|126370	0	0	0	0	0	0	0	0	0	0
OR1J1|347168	0	0	0	0	0	0	0	1	2	0
OR1J2|26740	1	2	1	2	2	4	0	3	11	3
OR1J4|26219	0	0	0	0	0	0	0	0	0	0
OR1K1|392392	0	2	0	0	0	0	0	0	0	0
OR1L1|26737	0	0	0	0	0	0	0	0	0	0
OR1L3|26735	0	0	0	0	0	0	0	0	0	0
OR1L4|254973	0	0	0	0	0	1	0	0	0	0
OR1L6|392390	0	0	0	0	0	0	0	0	0	1
OR1L8|138881	0	0	0	0	0	0	0	0	0	0
OR1M1|125963	0	0	0	0	0	0	0	0	0	0
OR1N1|138883	0	0	0	0	0	0	0	0	0	0
OR1N2|138882	0	0	0	0	0	0	0	0	0	0
OR1Q1|158131	0	0	0	0	0	0	0	0	1	0
OR1S1|219959	0	0	0	0	0	0	0	0	0	0
OR1S2|219958	0	0	0	0	0	0	0	0	0	0
OR2A12|346525	0	0	0	0	0	0	0	0	0	0
OR2A14|135941	0	0	0	0	0	1	1	0	0	1
OR2A1|346528	0	2	1	1	0	2	0	0	2	1
OR2A25|392138	0	1	0	0	0	0	0	0	0	0
OR2A2|442361	0	0	2	0	0	0	0	0	0	0
OR2A4|79541	2	14	27	0	2	39	3	4	9	9
OR2A5|393046	0	0	0	0	0	0	0	0	0	0
OR2A7|401427	77	127	238	77	99	234	40	37	116	95
OR2A9P|441295	29	68	118	78	49	215	46	32	105	77
OR2AE1|81392	0	0	0	0	0	0	0	0	0	0
OR2AG1|144125	0	0	0	0	0	0	0	0	0	0
OR2AG2|338755	2	0	0	0	0	0	3	0	0	2
OR2AK2|391191	0	0	0	0	0	0	0	0	0	0
OR2AT4|341152	0	0	0	0	0	0	0	0	0	0
OR2B11|127623	0	0	0	1	0	0	0	0	0	0
OR2B2|81697	0	0	0	0	0	0	0	0	0	0
OR2B3|442184	0	0	0	0	0	0	0	0	0	0
OR2B6|26212	0	3	3	0	1	2	3	0	2	1
OR2C1|4993	0	0	1	1	0	2	0	0	0	0
OR2C3|81472	1	0	1	0	0	0	0	0	0	0
OR2D2|120776	0	0	0	0	0	0	0	0	0	0
OR2D3|120775	0	0	0	0	0	0	0	0	0	1
OR2F1|26211	0	0	0	0	0	0	0	0	0	0
OR2F2|135948	0	0	0	0	0	0	0	0	0	0
OR2G2|81470	0	0	0	0	0	0	0	0	0	0
OR2G3|81469	0	0	0	0	0	0	0	0	0	0
OR2G6|391211	0	0	0	0	0	0	0	0	0	0
OR2H1|26716	0	0	0	0	0	0	0	0	0	0
OR2H2|7932	0	0	0	0	0	1	0	0	0	1
OR2J2|26707	0	0	0	0	0	0	0	0	0	0
OR2J3|442186	0	0	0	0	0	0	0	0	0	0
OR2K2|26248	0	0	0	0	0	0	0	0	1	1
OR2L13|284521	0	0	1	0	0	0	0	0	0	0
OR2L1P|26247	0	0	0	0	0	0	0	0	0	0
OR2L2|26246	0	0	0	0	0	1	0	0	0	0
OR2L3|391192	0	0	0	0	0	0	0	0	0	0
OR2L8|391190	0	0	0	0	0	0	0	0	0	0
OR2M1P|388762	0	0	0	0	0	0	0	0	0	0
OR2M2|391194	0	0	2	0	1	0	0	2	1	0
OR2M3|127062	0	0	6	0	0	0	0	1	0	0
OR2M4|26245	0	0	0	0	0	0	0	0	0	0
OR2M5|127059	0	0	2	0	0	0	0	0	0	0
OR2M7|391196	0	0	0	0	0	0	0	0	0	0
OR2S2|56656	0	1	0	0	0	0	0	0	0	1
OR2T10|127069	0	0	0	0	0	0	0	0	0	0
OR2T11|127077	0	0	3	0	0	0	1	2	0	0
OR2T12|127064	0	0	0	0	0	0	0	0	0	0
OR2T1|26696	0	0	0	0	0	0	0	0	0	0
OR2T27|403239	0	0	0	0	0	0	0	0	0	0
OR2T29|343563	0	0	0	0	0	0	0	0	0	0
OR2T2|401992	0	0	0	0	0	0	0	0	0	0
OR2T33|391195	1	0	0	0	0	0	0	3	0	2
OR2T34|127068	0	0	14	0	0	0	2	0	0	1
OR2T35|403244	0	0	0	0	0	0	0	0	0	0
OR2T3|343173	1	0	13	2	0	0	2	0	0	0
OR2T4|127074	0	0	0	0	0	0	0	0	0	0
OR2T5|401993	0	0	0	0	0	0	0	0	0	0
OR2T6|254879	0	0	0	0	0	0	0	0	0	0
OR2T8|343172	0	0	0	0	0	0	0	0	0	2
OR2V2|285659	0	0	0	0	0	0	0	0	0	0
OR2W1|26692	0	0	0	0	0	0	0	0	0	0
OR2W3|343171	2	4	3	1	0	0	25	9	0	24
OR2W5|441932	0	0	0	0	0	0	0	0	0	0
OR2Y1|134083	0	0	0	0	0	0	0	0	0	0
OR2Z1|284383	0	0	0	0	0	0	0	0	0	0
OR3A1|4994	0	0	0	0	0	0	0	0	0	0
OR3A2|4995	0	0	1	0	0	0	0	0	0	0
OR3A3|8392	0	0	2	0	1	0	1	0	0	0
OR3A4|390756	0	0	0	0	0	0	0	0	0	2
OR4A15|81328	0	0	0	0	0	0	0	0	0	0
OR4A16|81327	0	0	0	0	0	0	0	0	0	0
OR4A47|403253	0	0	0	0	0	0	0	0	0	0
OR4A5|81318	0	0	0	0	0	0	0	0	0	0
OR4B1|119765	0	0	0	0	0	0	0	0	0	0
OR4C11|219429	0	0	0	0	0	0	0	0	0	0
OR4C12|283093	0	0	0	0	0	0	0	0	0	0
OR4C13|283092	0	0	1	0	0	0	0	0	0	0
OR4C15|81309	0	0	0	0	0	0	0	0	0	0
OR4C16|219428	0	0	0	0	0	0	0	0	0	0
OR4C3|256144	0	0	0	0	0	0	0	0	0	0
OR4C45|403257	0	0	0	0	0	0	0	0	0	0
OR4C46|119749	0	0	0	0	0	0	0	0	0	0
OR4C6|219432	3	4	12	2	0	1	2	0	2	1
OR4D10|390197	0	0	0	0	0	0	0	0	0	0
OR4D11|219986	0	0	0	0	0	0	0	0	0	0
OR4D1|26689	0	0	0	0	0	0	0	0	0	0
OR4D2|124538	0	0	1	0	0	0	0	0	1	0
OR4D5|219875	0	0	0	0	0	0	0	0	0	0
OR4D6|219983	0	0	0	0	0	0	0	0	0	0
OR4D9|390199	0	0	0	0	0	0	0	0	0	0
OR4E2|26686	0	0	0	0	0	0	0	0	0	0
OR4F15|390649	0	0	0	0	0	0	0	0	0	0
OR4F17|81099	0	0	0	0	0	0	0	0	0	0
OR4F21|441308	0	1	0	0	2	1	0	0	0	0
OR4F29|729759	0	0	0	0	0	0	0	0	0	0
OR4F4|26682	0	0	0	0	0	0	0	0	0	0
OR4F5|79501	0	0	0	0	0	0	0	0	0	0
OR4F6|390648	0	0	0	0	0	0	0	0	0	0
OR4K13|390433	0	0	0	0	0	0	0	0	0	0
OR4K14|122740	0	0	0	0	0	0	0	0	0	0
OR4K15|81127	0	0	0	0	0	0	0	0	0	0
OR4K17|390436	0	0	0	0	0	0	0	0	0	0
OR4K1|79544	0	0	0	0	0	0	0	0	0	0
OR4K2|390431	0	0	0	0	0	0	0	0	0	0
OR4K5|79317	0	0	0	0	0	0	0	0	0	0
OR4L1|122742	0	0	0	0	0	0	0	0	0	0
OR4M1|441670	0	0	0	0	0	0	0	0	0	0
OR4M2|390538	0	0	0	0	0	0	0	0	0	0
OR4N2|390429	0	0	0	0	0	0	0	0	0	0
OR4N3P|390539	0	0	0	0	0	0	0	0	0	0
OR4N4|283694	0	0	0	0	0	0	0	0	0	0
OR4N5|390437	0	0	0	0	0	0	0	0	0	0
OR4P4|81300	0	0	0	0	0	0	0	0	0	0
OR4Q3|441669	0	0	0	0	0	0	0	0	0	0
OR4S1|256148	0	0	0	0	0	0	0	0	0	0
OR4S2|219431	0	0	0	0	0	0	0	0	0	0
OR4X1|390113	0	0	0	0	0	0	0	0	0	0
OR4X2|119764	0	0	0	0	0	0	0	0	0	0
OR51A2|401667	0	0	1	0	0	0	0	0	0	0
OR51A4|401666	0	0	0	0	0	0	0	0	0	0
OR51A7|119687	0	0	0	0	0	0	0	0	0	0
OR51B2|79345	0	0	0	0	0	0	0	0	0	0
OR51B4|79339	3	2	0	0	0	0	0	1	0	0
OR51B5|282763	14	5	0	0	1	1	0	6	0	2
OR51B6|390058	0	0	0	0	0	0	0	0	0	0
OR51D1|390038	0	0	0	0	0	0	0	0	0	0
OR51E1|143503	15	140	33	44	83	54	27	23	21	34
OR51E2|81285	6	49	24	11	37	42	10	5	8	13
OR51F1|256892	0	0	5	2	0	0	2	2	0	0
OR51F2|119694	0	0	0	0	0	0	0	0	0	0
OR51G1|79324	0	0	0	0	1	0	0	0	0	0
OR51G2|81282	0	0	0	0	0	0	0	0	0	0
OR51I1|390063	0	0	0	0	0	0	0	0	0	0
OR51I2|390064	0	0	0	0	0	0	0	0	0	0
OR51L1|119682	0	0	0	0	0	0	0	0	0	0
OR51M1|390059	0	0	0	0	0	0	0	0	0	0
OR51Q1|390061	0	0	0	0	0	0	0	0	0	0
OR51S1|119692	0	0	0	0	0	0	0	0	0	0
OR51T1|401665	0	0	0	0	0	0	0	0	0	0
OR51V1|283111	0	0	0	0	0	0	0	0	0	0
OR52A1|23538	0	0	0	0	0	0	0	0	0	0
OR52A4|390053	0	0	0	0	0	0	0	0	0	0
OR52A5|390054	0	0	0	0	0	0	0	0	0	0
OR52B2|255725	0	0	0	0	0	0	0	0	0	0
OR52B4|143496	0	0	0	0	0	0	0	0	0	0
OR52B6|340980	0	0	0	0	0	0	0	0	0	0
OR52D1|390066	0	0	1	0	0	0	0	0	1	0
OR52E2|119678	0	0	0	0	0	0	0	0	0	0
OR52E4|390081	0	0	0	0	0	0	0	0	0	0
OR52E6|390078	0	0	0	0	0	0	0	0	0	0
OR52E8|390079	1	0	0	0	0	0	0	0	0	0
OR52H1|390067	0	0	0	0	0	0	0	0	0	0
OR52I1|390037	0	0	2	0	0	0	0	0	0	1
OR52I2|143502	0	0	1	1	0	0	0	0	0	0
OR52J3|119679	0	0	0	0	0	0	0	0	0	0
OR52K1|390036	0	0	4	4	0	0	0	1	8	0
OR52K2|119774	1	2	3	4	2	0	1	2	12	3
OR52L1|338751	0	0	1	0	0	0	0	0	0	0
OR52M1|119772	0	0	0	0	0	0	0	0	0	0
OR52N1|79473	0	0	0	0	0	0	0	0	0	0
OR52N2|390077	1	2	16	2	0	0	0	4	0	1
OR52N4|390072	1	0	0	0	0	0	0	0	0	1
OR52N5|390075	0	0	0	0	0	0	0	0	0	0
OR52R1|119695	0	0	0	0	0	0	0	0	0	0
OR52W1|120787	0	0	0	0	1	0	0	0	0	0
OR56A1|120796	0	0	3	0	0	0	1	0	0	0
OR56A3|390083	0	0	1	0	0	1	0	0	0	0
OR56A4|120793	0	0	0	0	0	0	0	1	0	0
OR56A5|390084	0	0	0	0	0	0	0	0	0	0
OR56B1|387748	1	7	1	6	1	6	4	0	3	4
OR56B4|196335	0	2	0	0	0	0	1	0	1	0
OR5A1|219982	0	0	0	0	0	0	0	0	0	0
OR5A2|219981	0	0	0	0	0	0	0	0	0	0
OR5AC2|81050	0	0	0	0	0	0	0	0	0	0
OR5AK2|390181	0	0	0	0	0	0	0	0	0	0
OR5AN1|390195	0	0	0	0	0	0	0	0	0	0
OR5AP2|338675	0	0	0	0	0	0	0	0	0	0
OR5AR1|219493	0	0	0	0	0	0	0	0	0	0
OR5AS1|219447	0	0	0	0	0	0	0	0	0	0
OR5AU1|390445	0	0	0	0	0	0	0	0	0	0
OR5B12|390191	0	0	0	0	0	0	0	0	0	0
OR5B17|219965	0	0	0	0	0	0	0	0	0	0
OR5B21|219968	0	0	0	0	0	0	0	0	0	0
OR5B2|390190	0	0	0	0	0	0	0	0	0	0
OR5B3|441608	0	0	0	0	0	0	0	0	0	0
OR5C1|392391	0	0	0	0	0	0	0	0	0	0
OR5D13|390142	0	0	0	0	0	0	0	0	0	0
OR5D14|219436	0	0	0	0	0	0	0	0	0	0
OR5D16|390144	0	0	0	0	0	0	0	1	0	0
OR5D18|219438	0	0	0	0	0	0	0	0	0	0
OR5E1P|26343	0	0	0	0	0	0	0	0	0	0
OR5F1|338674	0	0	0	0	0	0	0	0	0	0
OR5H14|403273	0	0	0	0	0	0	0	0	0	0
OR5H15|403274	0	0	0	0	0	0	0	0	0	0
OR5H1|26341	0	0	0	0	0	0	0	0	0	0
OR5H2|79310	0	0	0	0	0	0	0	0	0	0
OR5H6|79295	0	0	0	0	0	0	0	0	0	0
OR5I1|10798	0	0	0	0	0	0	0	0	0	0
OR5J2|282775	2	1	17	0	0	0	1	1	1	1
OR5K1|26339	0	0	0	0	0	0	0	0	0	0
OR5K2|402135	0	0	0	0	0	0	0	0	0	0
OR5K3|403277	0	0	0	0	0	0	0	0	0	0
OR5K4|403278	0	0	0	0	0	0	0	0	0	0
OR5L1|219437	0	0	0	0	0	0	0	0	0	0
OR5L2|26338	0	0	0	0	0	0	0	0	0	0
OR5M10|390167	0	0	0	0	0	0	0	0	0	0
OR5M11|219487	0	0	0	0	0	0	0	0	0	0
OR5M1|390168	0	0	0	0	0	0	0	0	0	0
OR5M3|219482	0	0	0	0	0	0	0	0	0	0
OR5M8|219484	0	1	0	0	0	0	0	0	0	0
OR5M9|390162	0	0	0	0	0	0	0	0	0	0
OR5P2|120065	0	0	0	0	0	0	0	0	0	0
OR5P3|120066	0	0	0	0	0	0	0	0	0	0
OR5R1|219479	0	0	0	0	0	0	0	0	0	0
OR5T1|390155	0	0	0	0	0	0	0	0	0	0
OR5T2|219464	0	0	0	0	0	0	0	0	0	0
OR5T3|390154	0	0	0	0	0	0	0	0	0	0
OR5V1|81696	0	0	0	0	0	0	0	0	0	0
OR5W2|390148	0	0	0	0	0	0	0	0	0	0
OR6A2|8590	1	0	1	0	0	0	0	0	0	0
OR6B1|135946	0	0	0	0	0	0	0	0	0	0
OR6B2|389090	0	0	0	0	0	0	0	0	0	0
OR6B3|150681	0	0	0	0	0	0	0	0	0	0
OR6C1|390321	0	0	0	0	0	0	0	0	0	0
OR6C2|341416	0	1	0	0	0	0	0	0	0	0
OR6C3|254786	0	0	0	0	1	0	0	0	0	0
OR6C4|341418	0	0	0	0	0	0	0	0	0	0
OR6C65|403282	0	0	0	0	0	0	0	0	0	0
OR6C68|403284	0	0	0	0	1	0	0	0	0	0
OR6C6|283365	0	0	0	0	0	0	0	0	0	0
OR6C70|390327	0	0	0	0	0	0	0	0	0	0
OR6C74|254783	0	0	0	0	0	0	0	0	0	0
OR6C75|390323	0	0	0	0	0	0	0	0	0	0
OR6C76|390326	0	0	0	0	0	0	0	0	0	0
OR6F1|343169	0	0	0	0	0	0	0	0	0	0
OR6K2|81448	0	0	0	0	0	0	0	0	0	0
OR6K3|391114	0	0	0	0	0	0	0	0	0	0
OR6K6|128371	0	0	0	0	0	0	0	0	0	0
OR6M1|390261	1	0	0	0	0	0	0	0	0	0
OR6N1|128372	0	0	0	0	0	0	0	1	0	0
OR6N2|81442	0	0	2	0	0	0	0	0	1	0
OR6P1|128366	0	0	0	0	0	0	0	0	0	0
OR6Q1|219952	0	0	0	0	0	0	0	0	0	0
OR6S1|341799	0	0	0	0	0	1	0	0	0	0
OR6T1|219874	0	0	0	0	0	0	1	0	0	0
OR6V1|346517	0	0	0	0	0	0	0	0	0	0
OR6W1P|89883	1	5	7	5	6	9	6	1	5	3
OR6X1|390260	0	0	0	0	0	0	0	3	0	0
OR6Y1|391112	0	0	1	0	0	0	0	0	0	0
OR7A10|390892	0	0	0	1	0	0	0	0	0	0
OR7A17|26333	0	0	0	0	2	0	0	0	0	0
OR7A5|26659	0	0	0	0	0	0	0	0	0	0
OR7C1|26664	0	0	0	0	0	0	0	0	0	0
OR7C2|26658	0	0	0	1	0	0	0	0	0	0
OR7D2|162998	7	8	13	8	24	8	7	12	10	72
OR7D4|125958	0	0	1	0	0	0	1	0	0	0
OR7E156P|283491	1	12	8	6	10	18	3	3	16	8
OR7E24|26648	10	2	6	2	0	6	2	0	10	6
OR7E37P|26636	41	54	41	4	17	91	34	31	61	56
OR7E5P|219445	1	0	0	0	0	1	0	0	0	0
OR7E91P|79315	3	36	26	37	7	17	5	4	5	5
OR7G1|125962	0	0	0	0	0	0	0	0	0	0
OR7G2|390882	0	0	0	0	0	0	0	0	0	0
OR7G3|390883	0	0	0	0	0	0	0	0	0	0
OR8A1|390275	0	0	0	0	0	0	0	0	1	0
OR8B12|219858	0	0	0	0	0	0	0	0	0	0
OR8B2|26595	0	0	0	0	0	0	0	0	0	0
OR8B3|390271	0	0	0	0	0	0	0	0	0	0
OR8B4|283162	0	0	0	0	0	0	0	0	0	0
OR8B8|26493	0	0	0	0	0	0	0	2	0	1
OR8D1|283159	0	0	0	0	0	0	0	0	0	0
OR8D2|283160	0	0	0	0	0	0	0	0	0	0
OR8D4|338662	0	0	1	0	0	0	1	0	0	0
OR8G2|26492	0	0	0	0	0	0	0	0	0	0
OR8G5|219865	0	0	0	0	0	0	0	0	0	0
OR8H1|219469	0	0	0	0	0	0	0	0	0	0
OR8H2|390151	0	0	0	0	0	0	0	0	0	0
OR8H3|390152	0	0	0	0	0	0	0	0	0	0
OR8I2|120586	0	0	0	0	0	0	0	0	0	0
OR8J1|219477	0	0	0	0	0	0	0	0	0	0
OR8J3|81168	0	0	0	0	0	0	1	0	0	0
OR8K1|390157	0	0	0	0	0	0	0	0	0	0
OR8K3|219473	0	0	0	0	0	0	0	0	0	0
OR8K5|219453	0	0	1	0	0	0	0	0	0	0
OR8S1|341568	0	0	0	0	0	0	0	1	0	0
OR8U1|219417	0	0	0	0	0	0	0	0	0	0
OR9A2|135924	0	0	0	0	0	0	0	0	0	0
OR9A4|130075	0	0	0	0	0	0	0	0	0	0
OR9G4|283189	0	0	0	0	0	0	0	0	0	0
OR9G9|504191	0	0	0	0	0	0	0	0	0	0
OR9I1|219954	0	0	0	0	0	0	0	0	0	0
OR9K2|441639	0	0	0	0	0	0	0	0	0	0
OR9Q1|219956	5	3	4	3	0	3	5	3	6	2
OR9Q2|219957	0	0	0	0	0	0	0	0	0	0
ORAI1|84876	630	571	728	498	664	541	513	236	665	456
ORAI2|80228	590	586	1315	602	694	856	483	192	481	433
ORAI3|93129	372	457	1006	373	652	535	364	162	304	584
ORAOV1|220064	144	279	211	160	145	395	269	137	334	325
ORC1L|4998	180	282	269	198	286	508	342	425	571	535
ORC2L|4999	131	767	304	582	821	1088	675	298	927	1012
ORC3L|23595	77	836	244	304	254	824	837	325	1502	943
ORC4L|5000	110	918	296	548	619	791	990	605	1485	1131
ORC5L|5001	128	536	487	664	466	961	360	468	1045	793
ORC6L|23594	221	564	324	328	491	747	552	385	706	909
ORM1|5004	10	3	4	7	6	9	90	18	7	5
ORM2|5005	6	3	4	4	0	6	32	4	6	8
ORMDL1|94101	125	756	332	631	760	1067	833	306	1014	877
ORMDL2|29095	686	975	1262	1217	1083	534	650	741	1160	559
ORMDL3|94103	909	1810	2442	1189	1171	1273	2061	574	2686	2155
OS9|10956	2486	5075	5790	4999	4519	5521	4812	2309	4573	3736
OSBP2|23762	181	223	520	89	238	172	205	24	193	158
OSBPL10|114884	360	547	607	477	988	466	467	231	366	456
OSBPL11|114885	92	640	347	303	308	442	383	239	647	490
OSBPL1A|114876	109	197	228	302	358	202	286	205	224	865
OSBPL2|9885	1122	2270	1099	962	1818	2096	2685	587	2197	1756
OSBPL3|26031	331	615	1133	811	1579	960	713	419	826	1038
OSBPL5|114879	790	868	954	301	573	424	855	370	1105	764
OSBPL6|114880	9	15	13	4	19	19	12	12	2	7
OSBPL7|114881	469	252	739	340	401	451	574	163	536	498
OSBPL8|114882	97	1093	913	2070	1408	1796	1290	803	1430	1618
OSBPL9|114883	228	1021	941	663	780	796	1018	617	1079	1256
