"","TCGA.OR.A5J1","TCGA.OR.A5J2","TCGA.OR.A5J3","TCGA.OR.A5J5","TCGA.OR.A5J6","TCGA.OR.A5J7","TCGA.OR.A5J9","TCGA.OR.A5JB","TCGA.OR.A5JC","TCGA.OR.A5JD","TCGA.OR.A5JE","TCGA.OR.A5JG","TCGA.OR.A5JI","TCGA.OR.A5JK","TCGA.OR.A5JM","TCGA.OR.A5JO","TCGA.OR.A5JP","TCGA.OR.A5JQ","TCGA.OR.A5JR","TCGA.OR.A5JV","TCGA.OR.A5JW","TCGA.OR.A5JX","TCGA.OR.A5JY","TCGA.OR.A5K0","TCGA.OR.A5K1","TCGA.OR.A5K2","TCGA.OR.A5K3","TCGA.OR.A5K5","TCGA.OR.A5K6","TCGA.OR.A5K9","TCGA.OR.A5KO","TCGA.OR.A5KV","TCGA.OR.A5KW","TCGA.OR.A5KX","TCGA.OR.A5KY","TCGA.OR.A5KZ","TCGA.OR.A5L3","TCGA.OR.A5L6","TCGA.OR.A5L9","TCGA.OR.A5LA","TCGA.OR.A5LB","TCGA.OR.A5LD","TCGA.OR.A5LE","TCGA.OR.A5LG","TCGA.OR.A5LH","TCGA.OR.A5LK","TCGA.OR.A5LL","TCGA.OR.A5LM","TCGA.OR.A5LN","TCGA.OR.A5LS","TCGA.OR.A5LT","TCGA.P6.A5OG","TCGA.PK.A5H8","TCGA.PK.A5HA","TCGA.PK.A5HB"
"TYMS",425,632,478,248,35,3347,713,3632,589,307,3308,936,86,153,6151,799,1542,834,493,388,334,29,2989,2289,588,684,185,967,750,2833,2209,658,911,646,2296,6700,22,234,13,66,395,242,1821,712,172,64,47,266,68,429,343,3791,984,266,1951
"UBE2C",257,769,204,2212,28,3135,761,5402,1275,89,3777,1471,134,622,3241,275,2594,922,515,298,79,27,2175,1223,687,952,356,1264,422,2685,2359,440,665,519,6800,9122,38,1102,86,163,387,1884,1316,921,51,100,26,652,113,263,1017,4157,1178,207,3535
"UBE2S",465,1433,1396,3957,441,6341,2805,4559,1728,776,4827,2555,606,1108,5556,510,6204,1427,514,358,707,824,2793,1573,306,1887,608,3309,824,3617,2982,2189,2164,1627,10584,3394,413,437,111,335,1557,1035,1971,1223,1162,529,413,1253,335,1970,1066,2846,878,1233,2417
"UBE2T",243,475,232,461,115,2285,355,2029,478,150,2533,639,98,367,2316,128,1279,466,132,721,130,71,1362,414,310,702,137,870,435,2074,1071,664,574,419,1608,1753,49,165,17,156,275,169,1362,563,280,66,61,517,176,460,377,1966,447,360,1925
"UBR4",4856,10161,4164,2104,5542,6076,6235,8139,2757,3159,4508,3901,1320,2305,5206,6805,5199,3873,4177,2315,4798,2201,5565,5153,1601,2927,853,5215,3302,5048,2902,4654,4823,4243,6736,3070,1414,638,224,1551,4047,2059,4621,4051,4866,750,9663,2147,1066,2483,1832,9650,2208,2808,8570
"UCHL5",598,1491,306,160,510,1057,516,1505,277,439,764,583,141,402,1297,456,1012,592,589,917,531,133,1407,209,303,395,200,815,502,1268,856,901,496,368,682,718,182,83,16,243,488,104,1651,669,476,71,889,231,256,608,259,1124,411,598,1359
"UFD1L",2517,1536,2415,2015,1437,2989,1695,3991,1467,1737,3292,1970,562,1640,4013,1609,2303,1725,691,663,2956,1167,4228,2776,1022,1486,957,2065,2479,1573,3392,2518,2262,958,4779,1666,2000,540,264,1169,2716,1289,3021,2326,1943,766,2654,1840,974,2860,1512,2682,927,1342,3923
"UHRF1",78,171,190,736,8,1543,228,1509,221,37,432,509,70,90,1078,92,1005,284,144,56,75,23,540,211,97,244,36,195,76,438,1006,73,208,97,1042,1129,3,76,15,12,88,291,270,119,19,23,10,104,24,107,228,1463,410,66,835
"UTP11L",1436,1080,1243,875,776,3060,1990,3018,1174,563,1920,1691,664,778,1158,1187,2778,1068,561,591,1318,1406,992,852,732,1052,416,1125,946,1976,1359,1883,915,1020,2119,1234,540,259,89,663,1653,770,1333,1310,1372,239,378,1314,452,900,452,1746,566,517,1683
"WDR4",327,282,374,69,303,504,393,1054,253,90,322,670,72,183,330,260,506,137,165,242,326,230,378,360,140,239,82,291,277,728,168,166,418,206,373,417,57,65,6,222,402,37,181,146,314,29,173,192,30,129,32,880,163,151,445
"WDR62",501,185,232,770,28,2168,229,730,311,89,725,837,138,139,1015,89,666,475,356,119,123,39,822,497,162,213,72,383,146,1510,1114,62,268,331,2558,1133,12,140,25,53,159,249,330,222,44,113,25,215,50,243,215,1210,370,626,1251
"WDR76",64,252,3,55,70,508,90,1328,122,63,371,22,14,67,415,131,48,181,100,86,77,10,361,10,85,85,17,92,36,147,441,18,147,65,27,592,7,22,2,16,85,4,261,112,21,16,31,22,14,64,37,548,131,132,33
"XRCC3",463,388,316,862,150,599,490,945,670,169,729,444,141,216,616,219,722,350,374,150,367,322,947,430,133,341,133,390,242,444,1065,515,609,443,600,414,102,130,30,176,304,252,501,722,245,110,308,163,143,202,234,1062,743,419,413
"YBX1",15216,11059,8851,3932,9790,14220,13834,36337,9743,5196,17951,13212,3344,5170,17351,13440,18038,6870,6653,7732,7056,4928,10864,4800,4285,9279,2953,11688,6395,12163,9828,15556,10510,8753,17006,12985,1874,1491,438,4657,7286,2937,23153,6642,7449,2776,4982,7440,3289,4745,3414,20663,7849,6974,24198
"ZBED4",939,702,321,1171,223,292,414,1220,279,241,297,390,117,247,1070,596,857,325,292,259,324,161,969,455,278,109,113,317,642,747,711,869,481,239,785,519,164,57,51,157,405,211,782,589,490,131,277,222,152,240,264,1189,327,369,1211
"ZBTB40",2253,2219,980,718,1493,2151,1662,1470,1741,697,1075,1479,396,1133,1618,1356,1605,944,1505,818,2140,1163,3018,2330,503,1052,487,2271,1451,2762,1153,1312,960,1865,2354,1224,673,332,229,526,1550,857,2111,1908,2711,804,1847,1708,675,1070,352,2412,2011,903,2562
"ZDHHC16",1323,2452,498,823,1807,2881,1731,3440,955,911,1698,753,451,670,3274,1280,1682,1128,675,628,680,865,2094,1872,741,1178,342,2466,1215,1338,1308,1750,503,1994,1649,1468,393,257,69,534,1060,913,1704,1494,1644,323,353,505,590,653,443,2696,852,1710,1383
"ZMYND19",1552,682,574,1787,501,1196,1666,2511,610,712,1722,1436,438,660,997,545,1638,1291,477,359,823,722,704,1112,354,1070,232,875,560,1021,1273,1547,643,1430,2870,839,633,251,76,415,1379,592,1122,1125,717,208,522,677,452,416,751,1436,550,536,1444
"ZNF202",744,551,346,444,308,703,435,536,282,231,349,230,131,391,582,463,288,308,246,267,385,335,583,148,161,256,141,588,262,439,333,361,285,547,624,807,225,107,44,149,374,346,864,564,340,157,414,160,164,258,161,1807,231,285,409
"ZNF695",33,79,1,36,2,121,80,64,22,2,41,1,12,7,114,3,31,11,6,9,12,1,1,1,5,75,3,83,6,1,22,19,11,48,102,88,5,2,1,6,23,10,5,2,5,7,3,14,4,21,12,94,21,9,78
"ZWINT",307,1090,322,1086,114,3898,1487,3455,1005,453,1399,954,299,316,5237,352,2133,702,592,468,592,100,2265,729,413,874,140,902,376,2443,1458,813,751,787,4154,3386,75,295,34,121,590,774,1738,508,399,111,67,452,109,878,606,4147,834,524,3289
